Año,Mes,País,Material,Producto,Producción
2024,Noviembre,Brasil,Acero,BOF,2101.706
2024,Noviembre,Chile,Acero,H.Eléctrico,47.095
2024,Noviembre,Chile,Acero,BOF,0.0
2024,Noviembre,Colombia,Acero,H.Eléctrico,85.91268
2024,Noviembre,Colombia,Acero,BOF,0.0
2024,Noviembre,Cuba,Acero,H.Eléctrico,17.093658800432483
2024,Noviembre,Cuba,Acero,BOF,0.0
2024,Noviembre,Ecuador,Acero,H.Eléctrico,40.02346512113753
2024,Noviembre,Ecuador,Acero,BOF,0.0
2024,Noviembre,El Salvador,Acero,H.Eléctrico,6.836375153553144
2024,Noviembre,El Salvador,Acero,BOF,0.0
2024,Noviembre,Guatemala,Acero,H.Eléctrico,22.450201377094665
2024,Noviembre,Guatemala,Acero,BOF,0.0
2024,Noviembre,México,Acero,H.Eléctrico,0.0
2024,Noviembre,México,Acero,BOF,0.0
2024,Noviembre,Paraguay,Acero,H.Eléctrico,0.0
2024,Noviembre,Paraguay,Acero,BOF,3.0105889611155185
2024,Noviembre,Perú,Acero,H.Eléctrico,134.5427246792681
2024,Noviembre,Perú,Acero,BOF,0.0
2024,Noviembre,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Noviembre,Trinidad y Tobago,Acero,BOF,
2024,Noviembre,Uruguay,Acero,H.Eléctrico,5.26389544786681
2024,Noviembre,Uruguay,Acero,BOF,0.0
2024,Noviembre,Venezuela,Acero,H.Eléctrico,2.9111113445026184
2024,Noviembre,Venezuela,Acero,BOF,0.0
2024,Diciembre,Argentina,Acero,H.Eléctrico,
2024,Diciembre,Argentina,Acero,BOF,
2024,Diciembre,Brasil,Acero,H.Eléctrico,
2024,Diciembre,Brasil,Acero,BOF,
2024,Diciembre,Chile,Acero,H.Eléctrico,
2024,Diciembre,Chile,Acero,BOF,
2024,Diciembre,Colombia,Acero,H.Eléctrico,
2024,Diciembre,Colombia,Acero,BOF,
2024,Diciembre,Cuba,Acero,H.Eléctrico,
2024,Diciembre,Cuba,Acero,BOF,
2024,Diciembre,Ecuador,Acero,H.Eléctrico,
2024,Diciembre,Ecuador,Acero,BOF,
2024,Diciembre,El Salvador,Acero,H.Eléctrico,
2024,Diciembre,El Salvador,Acero,BOF,
2024,Diciembre,Guatemala,Acero,H.Eléctrico,
2024,Diciembre,Guatemala,Acero,BOF,
2024,Diciembre,México,Acero,H.Eléctrico,
2024,Diciembre,México,Acero,BOF,
2024,Diciembre,Paraguay,Acero,H.Eléctrico,
2024,Diciembre,Paraguay,Acero,BOF,
2024,Diciembre,Perú,Acero,H.Eléctrico,
2024,Diciembre,Perú,Acero,BOF,
2024,Diciembre,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Diciembre,Trinidad y Tobago,Acero,BOF,
2024,Diciembre,Uruguay,Acero,H.Eléctrico,
2024,Diciembre,Uruguay,Acero,BOF,
2024,Diciembre,Venezuela,Acero,H.Eléctrico,
2024,Diciembre,Venezuela,Acero,BOF,
2023,Enero,Argentina,Acero,H.Eléctrico,247.904
2023,Enero,Argentina,Acero,BOF,194.538
2023,Enero,Brasil,Acero,H.Eléctrico,609.859
2023,Enero,Brasil,Acero,BOF,2119.138
2023,Enero,Chile,Acero,H.Eléctrico,39.097
2023,Enero,Chile,Acero,BOF,54.01119999999999
2023,Enero,Colombia,Acero,H.Eléctrico,104.41537272727273
2023,Enero,Colombia,Acero,BOF,0.0
2023,Enero,Cuba,Acero,H.Eléctrico,18.9528265041408
2023,Enero,Cuba,Acero,BOF,0.0
2023,Enero,Ecuador,Acero,H.Eléctrico,53.01437476199182
2023,Enero,Ecuador,Acero,BOF,0.0
2023,Enero,El Salvador,Acero,H.Eléctrico,8.6408880508352
2023,Enero,El Salvador,Acero,BOF,0.0
2023,Enero,Guatemala,Acero,H.Eléctrico,26.323370144640005
2023,Enero,Guatemala,Acero,BOF,0.0
2023,Enero,México,Acero,H.Eléctrico,0.0
2023,Enero,México,Acero,BOF,0.0
2023,Enero,Paraguay,Acero,H.Eléctrico,0.0
2023,Enero,Paraguay,Acero,BOF,2.2155332419584
2023,Enero,Perú,Acero,H.Eléctrico,142.202402552692
2023,Enero,Perú,Acero,BOF,0.0
2023,Enero,Trinidad y Tobago,Acero,H.Eléctrico,
2023,Enero,Trinidad y Tobago,Acero,BOF,
2023,Enero,Uruguay,Acero,H.Eléctrico,6.613181374010265
2023,Enero,Uruguay,Acero,BOF,0.0
2023,Enero,Venezuela,Acero,H.Eléctrico,2.027019816326889
2023,Enero,Venezuela,Acero,BOF,0.0
2023,Febrero,Argentina,Acero,H.Eléctrico,176.274
2023,Febrero,Argentina,Acero,BOF,182.131
2023,Febrero,Brasil,Acero,H.Eléctrico,603.444
2023,Febrero,Brasil,Acero,BOF,1865.525
2023,Febrero,Chile,Acero,H.Eléctrico,37.392
2023,Febrero,Chile,Acero,BOF,12.755900000000002
2023,Febrero,Colombia,Acero,H.Eléctrico,104.87903527272725
2023,Febrero,Colombia,Acero,BOF,0.0
2023,Febrero,Cuba,Acero,H.Eléctrico,17.8998916983552
2023,Febrero,Cuba,Acero,BOF,0.0
2023,Febrero,Ecuador,Acero,H.Eléctrico,54.12205203867065
2023,Febrero,Ecuador,Acero,BOF,0.0
2023,Febrero,El Salvador,Acero,H.Eléctrico,8.6408880508352
2023,Febrero,El Salvador,Acero,BOF,0.0
2023,Febrero,Guatemala,Acero,H.Eléctrico,25.2704353388544
2023,Febrero,Guatemala,Acero,BOF,0.0
2023,Febrero,México,Acero,H.Eléctrico,0.0
2023,Febrero,México,Acero,BOF,0.0
2023,Febrero,Paraguay,Acero,H.Eléctrico,0.0
2023,Febrero,Paraguay,Acero,BOF,1.1077666209792
2023,Febrero,Perú,Acero,H.Eléctrico,125.45199433617387
2023,Febrero,Perú,Acero,BOF,0.0
2023,Febrero,Trinidad y Tobago,Acero,H.Eléctrico,
2023,Febrero,Trinidad y Tobago,Acero,BOF,
2023,Febrero,Uruguay,Acero,H.Eléctrico,3.3065906870051327
2023,Febrero,Uruguay,Acero,BOF,0.0
2023,Febrero,Venezuela,Acero,H.Eléctrico,1.9292658947113874
2023,Febrero,Venezuela,Acero,BOF,0.0
2023,Marzo,Argentina,Acero,H.Eléctrico,233.009
2023,Marzo,Argentina,Acero,BOF,179.79
2023,Marzo,Brasil,Acero,H.Eléctrico,704.588
2023,Marzo,Brasil,Acero,BOF,2017.652
2023,Marzo,Chile,Acero,H.Eléctrico,18.6480514
2023,Marzo,Chile,Acero,BOF,65.56760000000004
2023,Marzo,Colombia,Acero,H.Eléctrico,132.58292572727274
2023,Marzo,Colombia,Acero,BOF,0.0
2023,Marzo,Cuba,Acero,H.Eléctrico,16.8469568925696
2023,Marzo,Cuba,Acero,BOF,0.0
2023,Marzo,Ecuador,Acero,H.Eléctrico,51.90670136984778
2023,Marzo,Ecuador,Acero,BOF,0.0
2023,Marzo,El Salvador,Acero,H.Eléctrico,8.100832547658001
2023,Marzo,El Salvador,Acero,BOF,0.0
2023,Marzo,Guatemala,Acero,H.Eléctrico,23.37515268844032
2023,Marzo,Guatemala,Acero,BOF,0.0
2023,Marzo,México,Acero,H.Eléctrico,0.0
2023,Marzo,México,Acero,BOF,0.0
2023,Marzo,Paraguay,Acero,H.Eléctrico,0.0
2023,Marzo,Paraguay,Acero,BOF,0.6646599725875201
2023,Marzo,Perú,Acero,H.Eléctrico,151.37189945733064
2023,Marzo,Perú,Acero,BOF,0.0
2023,Marzo,Trinidad y Tobago,Acero,H.Eléctrico,
2023,Marzo,Trinidad y Tobago,Acero,BOF,
2023,Marzo,Uruguay,Acero,H.Eléctrico,4.408787582673511
2023,Marzo,Uruguay,Acero,BOF,0.0
2023,Marzo,Venezuela,Acero,H.Eléctrico,2.1743146756433926
2023,Marzo,Venezuela,Acero,BOF,0.0
2023,Abril,Argentina,Acero,H.Eléctrico,226.855
2023,Abril,Argentina,Acero,BOF,203.002
2023,Abril,Brasil,Acero,H.Eléctrico,684.615
2023,Abril,Brasil,Acero,BOF,2083.566
2023,Abril,Chile,Acero,H.Eléctrico,42.2714928
2023,Abril,Chile,Acero,BOF,76.14252200000006
2023,Abril,Colombia,Acero,H.Eléctrico,111.63413190909091
2023,Abril,Colombia,Acero,BOF,0.0
2023,Abril,Cuba,Acero,H.Eléctrico,11.455930686947333
2023,Abril,Cuba,Acero,BOF,0.0
2023,Abril,Ecuador,Acero,H.Eléctrico,32.66420185143411
2023,Abril,Ecuador,Acero,BOF,0.0
2023,Abril,El Salvador,Acero,H.Eléctrico,5.046278621687756
2023,Abril,El Salvador,Acero,BOF,0.0
2023,Abril,Guatemala,Acero,H.Eléctrico,16.307854272007376
2023,Abril,Guatemala,Acero,BOF,0.0
2023,Abril,México,Acero,H.Eléctrico,0.0
2023,Abril,México,Acero,BOF,0.0
2023,Abril,Paraguay,Acero,H.Eléctrico,0.0
2023,Abril,Paraguay,Acero,BOF,0.8507647649120259
2023,Abril,Perú,Acero,H.Eléctrico,108.0411422091575
2023,Abril,Perú,Acero,BOF,0.0
2023,Abril,Trinidad y Tobago,Acero,H.Eléctrico,
2023,Abril,Trinidad y Tobago,Acero,BOF,
2023,Abril,Uruguay,Acero,H.Eléctrico,3.5270300661388085
2023,Abril,Uruguay,Acero,BOF,0.0
2023,Abril,Venezuela,Acero,H.Eléctrico,1.7105511296695293
2023,Abril,Venezuela,Acero,BOF,0.0
2023,Mayo,Argentina,Acero,H.Eléctrico,267.124
2023,Mayo,Argentina,Acero,BOF,174.856
2023,Mayo,Brasil,Acero,H.Eléctrico,637.833
2023,Mayo,Brasil,Acero,BOF,2152.134
2023,Mayo,Chile,Acero,H.Eléctrico,46.399439
2023,Mayo,Chile,Acero,BOF,68.70260000000003
2023,Mayo,Colombia,Acero,H.Eléctrico,115.74459409090909
2023,Mayo,Colombia,Acero,BOF,0.0
2023,Mayo,Cuba,Acero,H.Eléctrico,11.455930686947333
2023,Mayo,Cuba,Acero,BOF,0.0
2023,Mayo,Ecuador,Acero,H.Eléctrico,34.08195252511338
2023,Mayo,Ecuador,Acero,BOF,0.0
2023,Mayo,El Salvador,Acero,H.Eléctrico,5.18453283050112
2023,Mayo,El Salvador,Acero,BOF,0.0
2023,Mayo,Guatemala,Acero,H.Eléctrico,15.768751651445143
2023,Mayo,Guatemala,Acero,BOF,0.0
2023,Mayo,México,Acero,H.Eléctrico,0.0
2023,Mayo,México,Acero,BOF,0.0
2023,Mayo,Paraguay,Acero,H.Eléctrico,0.0
2023,Mayo,Paraguay,Acero,BOF,0.8507647649120259
2023,Mayo,Perú,Acero,H.Eléctrico,124.60741539353276
2023,Mayo,Perú,Acero,BOF,0.0
2023,Mayo,Trinidad y Tobago,Acero,H.Eléctrico,
2023,Mayo,Trinidad y Tobago,Acero,BOF,
2023,Mayo,Uruguay,Acero,H.Eléctrico,2.8216240529110475
2023,Mayo,Uruguay,Acero,BOF,0.0
2023,Mayo,Venezuela,Acero,H.Eléctrico,1.716587372254582
2023,Mayo,Venezuela,Acero,BOF,0.0
2023,Junio,Argentina,Acero,H.Eléctrico,240.236
2023,Junio,Argentina,Acero,BOF,182.682
2023,Junio,Brasil,Acero,H.Eléctrico,583.874
2023,Junio,Brasil,Acero,BOF,1987.294
2023,Junio,Chile,Acero,H.Eléctrico,36.800959999999996
2023,Junio,Chile,Acero,BOF,67.15489999999997
2023,Junio,Colombia,Acero,H.Eléctrico,113.367487
