Fecha,Familia_canacero,Vol. Ventas (ton)
2023-01,02.01 LAMINA EN CALIENTE,15954
2023-02,01.01 PLACA DE ROLLO,17776
2023-02,01.02 PLACA DE HOJA,1972
2023-02,02.01 LAMINA EN CALIENTE,15622
2023-02,03.01 LAMINA EN FRIO,2113
2023-02,04.01 LAMINA GALVANIZADA,1050
2023-02,05.01 PERFILES ESTRUCTURALES,7787
2023-02,06.01 PERFILES COMERCIALES,3412
2023-03,04.01 LAMINA GALVANIZADA,1136
2023-03,06.01 PERFILES COMERCIALES,3962
2023-03,03.01 LAMINA EN FRIO,2194
2023-03,05.01 PERFILES ESTRUCTURALES,11884
2023-03,01.02 PLACA DE HOJA,2561
2023-03,01.01 PLACA DE ROLLO,19342
2023-03,02.01 LAMINA EN CALIENTE,17088
2023-04,01.01 PLACA DE ROLLO,13182
2023-04,01.02 PLACA DE HOJA,1656
2023-04,02.01 LAMINA EN CALIENTE,11601
2023-04,03.01 LAMINA EN FRIO,2223
2023-04,04.01 LAMINA GALVANIZADA,811
2023-04,05.01 PERFILES ESTRUCTURALES,8952
2023-04,06.01 PERFILES COMERCIALES,3625
2023-05,05.01 PERFILES ESTRUCTURALES,9933
2023-05,04.01 LAMINA GALVANIZADA,1119
2023-05,03.01 LAMINA EN FRIO,2263
2023-05,06.01 PERFILES COMERCIALES,3582
2023-05,01.02 PLACA DE HOJA,2141
2023-05,01.01 PLACA DE ROLLO,15155
2023-05,02.01 LAMINA EN CALIENTE,13045
2023-06,05.01 PERFILES ESTRUCTURALES,10870
2023-06,04.01 LAMINA GALVANIZADA,947
2023-06,03.01 LAMINA EN FRIO,1998
2023-06,06.01 PERFILES COMERCIALES,3263
2023-06,01.02 PLACA DE HOJA,2392
2023-06,01.01 PLACA DE ROLLO,15313
2023-06,02.01 LAMINA EN CALIENTE,13026
2023-07,01.01 PLACA DE ROLLO,17087
2023-07,01.02 PLACA DE HOJA,2774
2023-07,02.01 LAMINA EN CALIENTE,13173
2023-07,03.01 LAMINA EN FRIO,2143
2023-07,04.01 LAMINA GALVANIZADA,728
2023-07,05.01 PERFILES ESTRUCTURALES,11452
2023-07,06.01 PERFILES COMERCIALES,4876
2023-08,04.01 LAMINA GALVANIZADA,1099
2023-08,05.01 PERFILES ESTRUCTURALES,10565
2023-08,03.01 LAMINA EN FRIO,2447
2023-08,06.01 PERFILES COMERCIALES,4513
2023-08,01.02 PLACA DE HOJA,2237
2023-08,02.01 LAMINA EN CALIENTE,16345
2023-08,01.01 PLACA DE ROLLO,19062
2023-09,06.01 PERFILES COMERCIALES,4012
2023-09,01.01 PLACA DE ROLLO,16027
2023-09,01.02 PLACA DE HOJA,2030
2023-09,02.01 LAMINA EN CALIENTE,17613
2023-09,03.01 LAMINA EN FRIO,2784
2023-09,04.01 LAMINA GALVANIZADA,1059
2023-09,05.01 PERFILES ESTRUCTURALES,9989
2023-10,06.01 PERFILES COMERCIALES,4261
2023-10,05.01 PERFILES ESTRUCTURALES,10677
2023-10,04.01 LAMINA GALVANIZADA,1350
2023-10,01.01 PLACA DE ROLLO,19872
2023-10,02.01 LAMINA EN CALIENTE,22955
2023-10,01.02 PLACA DE HOJA,2636
2023-10,03.01 LAMINA EN FRIO,3309
2023-11,04.01 LAMINA GALVANIZADA,1575
2023-11,05.01 PERFILES ESTRUCTURALES,9848
2023-11,06.01 PERFILES COMERCIALES,4270
2023-11,03.01 LAMINA EN FRIO,2986
2023-11,01.02 PLACA DE HOJA,1734
2023-11,01.01 PLACA DE ROLLO,15047
2023-11,02.01 LAMINA EN CALIENTE,17372
2023-12,05.01 PERFILES ESTRUCTURALES,12740
2023-12,04.01 LAMINA GALVANIZADA,1122
2023-12,03.01 LAMINA EN FRIO,1887
2023-12,06.01 PERFILES COMERCIALES,4259
2023-12,01.02 PLACA DE HOJA,2217
2023-12,01.01 PLACA DE ROLLO,16112
2023-12,02.01 LAMINA EN CALIENTE,15597
2024-01,01.01 PLACA DE ROLLO,13136
2024-01,01.02 PLACA DE HOJA,1566
2024-01,02.01 LAMINA EN CALIENTE,13034
2024-01,03.01 LAMINA EN FRIO,2113
2024-01,04.01 LAMINA GALVANIZADA,849
2024-01,05.01 PERFILES ESTRUCTURALES,10009
2024-01,06.01 PERFILES COMERCIALES,3314
2024-02,06.01 PERFILES COMERCIALES,3064
2024-02,05.01 PERFILES ESTRUCTURALES,8833
2024-02,04.01 LAMINA GALVANIZADA,917
2024-02,01.02 PLACA DE HOJA,1959
2024-02,02.01 LAMINA EN CALIENTE,10840
2024-02,01.01 PLACA DE ROLLO,12900
2024-02,03.01 LAMINA EN FRIO,1584
2024-03,01.01 PLACA DE ROLLO,10664
2024-03,01.02 PLACA DE HOJA,1813
2024-03,02.01 LAMINA EN CALIENTE,13464
2024-03,03.01 LAMINA EN FRIO,1938
2024-03,04.01 LAMINA GALVANIZADA,734
2024-03,05.01 PERFILES ESTRUCTURALES,8568
