,Producto,Toneladas,Mes,Año,Categoría
415,Tubos c/Costura > 406.4 mm,57196.45046209006,Ago,2012,Terminados
417,Mineral de Hierro,490802.3860429999,Sep,2012,Materias Primas
418,Carbón Mineral,1341195.765007,Sep,2012,Materias Primas
419,Coque,193258.830579,Sep,2012,Materias Primas
420,Chatarra,573676.638569,Sep,2012,Materias Primas
421,Material Relaminable,3426.227697,Sep,2012,Materias Primas
423,Horno Eléctrico,0.0,Sep,2012,Acero
424,Convertidor al Oxígeno,0.0,Sep,2012,Acero
426,HIERRO DE PRIMERA FUSIÓN,927468.2680835559,Sep,2012,Básicos
427,Arrabio,430146.9136594305,Sep,2012,Básicos
428,Fierro Esponja,497321.35442412534,Sep,2012,Básicos
429,Ferroaleaciones,18390.774369333332,Sep,2012,Básicos
430,Granallas y Polvos,3610.02557,Sep,2012,Básicos
432,Planchón,261575.19423869977,Sep,2012,Semiterminados
433,"Lingotes, Palanquillas, etc.",2419.3891820000017,Sep,2012,Semiterminados
436,Placa,201360.1414363507,Sep,2012,Planos
437,en Rollo,114765.15777835072,Sep,2012,Planos
438,en Hoja,86594.98365799998,Sep,2012,Planos
439,Lámina en Caliente,288016.60859407217,Sep,2012,Planos
440,Lámina en Frío,301516.72183108894,Sep,2012,Planos
441,Lámina con Recubrimiento,224766.85976066973,Sep,2012,Planos
442,Lámina Galvanizada,204071.78367966975,Sep,2012,Planos
443,Lámina Estañada (Hojalata),17856.131714000003,Sep,2012,Planos
444,Lámina Cromada,12163.734970000001,Sep,2012,Planos
445,Planos con Otros Recubiertos y Trabajos,-9324.790603000001,Sep,2012,Planos
446,Planos de Acero al Silicio,13994.186999,Sep,2012,Planos
447,Planos de Acero Aleado,86953.926001,Sep,2012,Planos
448,Planos de Acero Inoxidable,41556.76256651171,Sep,2012,Planos
449,"Cintas, Tiras y Flejes",73.92278399999987,Sep,2012,Planos
451,Alambrón,214228.505698427,Sep,2012,Largos
452,Alambre y derivados,175583.63199677592,Sep,2012,Largos
453,Alambre,177054.98709077592,Sep,2012,Largos
454,Derivados de alambre,-1471.3550939999996,Sep,2012,Largos
455,Varilla Corrugada,267380.63932081684,Sep,2012,Largos
456,Perfiles Estructurales (Caliente y Frío),67800.53587775378,Sep,2012,Largos
457,Caliente,68625.23183175376,Sep,2012,Largos
458,Frío,-824.6959539999989,Sep,2012,Largos
459,Perfiles Comerciales formados en Caliente,22653.135782753754,Sep,2012,Largos
460,Barras,108971.77219821233,Sep,2012,Largos
461,Perfiles Inoxidables y Aleados,1160.312319,Sep,2012,Largos
462,Rieles,5027.762000000001,Sep,2012,Largos
463,TUBOS CON Y SIN COSTURA,169360.3885701727,Sep,2012,Terminados
464,Tubos sin Costura,53400.06333064588,Sep,2012,Terminados
465,Tubos con Costura,115960.32523952684,Sep,2012,Terminados
466,Tubos c/Costura ≤ 406.4 mm,54847.09175276344,Sep,2012,Terminados
467,Tubos c/Costura > 406.4 mm,61113.233486763405,Sep,2012,Terminados
469,Mineral de Hierro,295578.7918659999,Oct,2012,Materias Primas
470,Carbón Mineral,2126356.972165,Oct,2012,Materias Primas
471,Coque,242433.140426,Oct,2012,Materias Primas
472,Chatarra,633141.788726,Oct,2012,Materias Primas
473,Material Relaminable,2760.354,Oct,2012,Materias Primas
475,Horno Eléctrico,0.0,Oct,2012,Acero
476,Convertidor al Oxígeno,0.0,Oct,2012,Acero
478,HIERRO DE PRIMERA FUSIÓN,880752.832937896,Oct,2012,Básicos
479,Arrabio,409358.8054097701,Oct,2012,Básicos
480,Fierro Esponja,471394.02752812597,Oct,2012,Básicos
481,Ferroaleaciones,20202.55006733333,Oct,2012,Básicos
482,Granallas y Polvos,3977.743699,Oct,2012,Básicos
484,Planchón,191452.6667783021,Oct,2012,Semiterminados
485,"Lingotes, Palanquillas, etc.",9276.004938,Oct,2012,Semiterminados
488,Placa,235294.98140067718,Oct,2012,Planos
489,en Rollo,130256.12664167721,Oct,2012,Planos
490,en Hoja,105038.85475899998,Oct,2012,Planos
491,Lámina en Caliente,299028.52116279746,Oct,2012,Planos
492,Lámina en Frío,306904.5051398918,Oct,2012,Planos
493,Lámina con Recubrimiento,245808.21662897783,Oct,2012,Planos
494,Lámina Galvanizada,218131.1230969778,Oct,2012,Planos
495,Lámina Estañada (Hojalata),21490.4167,Oct,2012,Planos
496,Lámina Cromada,8643.261667,Oct,2012,Planos
497,Planos con Otros Recubiertos y Trabajos,-2456.5848350000006,Oct,2012,Planos
498,Planos de Acero al Silicio,15153.073472000004,Oct,2012,Planos
499,Planos de Acero Aleado,86841.70322900002,Oct,2012,Planos
500,Planos de Acero Inoxidable,46960.62225076507,Oct,2012,Planos
501,"Cintas, Tiras y Flejes",-373.756122,Oct,2012,Planos
