Año,Mes,País,Producto,Importacion
2024,Junio,Costa Rica,Largos,8.350889319999999
2024,Junio,Costa Rica,Planos,16.772156609999996
2024,Junio,Costa Rica,Tubos Sin Costura,0.036478730000000084
2024,Junio,Costa Rica,Laminados,25.159524659999995
2024,Junio,Ecuador,Largos,14.045363500000011
2024,Junio,Ecuador,Planos,58.015400089999986
2024,Junio,Ecuador,Tubos Sin Costura,4.638859300000004
2024,Junio,Ecuador,Laminados,76.69962289
2024,Junio,El Salvador,Largos,14.842592179999999
2024,Junio,El Salvador,Planos,24.387136640000005
2024,Junio,El Salvador,Tubos Sin Costura,0.13493391
2024,Junio,El Salvador,Laminados,39.364662730000006
2024,Junio,Guatemala,Largos,36.306276
2024,Junio,Guatemala,Planos,34.43324
2024,Junio,Guatemala,Tubos Sin Costura,0.090802
2024,Junio,Guatemala,Laminados,70.83031799999999
2024,Junio,Honduras,Largos,15.26425093
2024,Junio,Honduras,Planos,8.735438659999998
2024,Junio,Honduras,Tubos Sin Costura,0.040625800000000004
2024,Junio,Honduras,Laminados,24.040315389999996
2024,Junio,México,Largos,181.73148529213
2024,Junio,México,Planos,835.66899158953
2024,Junio,México,Tubos Sin Costura,8.90899467962
2024,Junio,México,Laminados,1026.3094715612801
2024,Junio,Panamá,Largos,27.281749
2024,Junio,Panamá,Planos,9.960889
2024,Junio,Panamá,Tubos Sin Costura,0.323803
2024,Junio,Panamá,Laminados,37.566441
2024,Junio,Paraguay,Largos,7.3309099
2024,Junio,Paraguay,Planos,18.8264401
2024,Junio,Paraguay,Tubos Sin Costura,0.021895599999999998
2024,Junio,Paraguay,Laminados,26.1792456
2024,Junio,Perú,Largos,68.87168286000013
2024,Junio,Perú,Planos,84.60904145000005
2024,Junio,Perú,Tubos Sin Costura,4.125421079999996
2024,Junio,Perú,Laminados,157.6061453900002
2024,Junio,Uruguay,Largos,3.158231
2024,Junio,Uruguay,Planos,7.828182
2024,Junio,Uruguay,Tubos Sin Costura,0.081812
2024,Junio,Uruguay,Laminados,11.068224999999998
2024,Junio,Venezuela,Largos,3.000341
2024,Junio,Venezuela,Planos,16.490661
2024,Junio,Venezuela,Tubos Sin Costura,1.777568
2024,Junio,Venezuela,Laminados,21.268569999999997
2024,Julio,Argentina,Largos,9.427
2024,Julio,Argentina,Planos,30.128
2024,Julio,Argentina,Tubos Sin Costura,3.244
2024,Julio,Argentina,Laminados,42.799
2024,Julio,Bolivia,Largos,13.087557
2024,Julio,Bolivia,Planos,12.008816
2024,Julio,Bolivia,Tubos Sin Costura,1.034838
2024,Julio,Bolivia,Laminados,26.131211
2024,Julio,Brasil,Largos,89.058
2024,Julio,Brasil,Planos,240.504
2024,Julio,Brasil,Tubos Sin Costura,0.0
2024,Julio,Brasil,Laminados,329.562
2024,Julio,Chile,Largos,34.70403639000001
2024,Julio,Chile,Planos,179.77425172999995
