Año,Mes,País,Producto,Consumo
2024,Mayo,Brasil,Planos,1291.239
2024,Mayo,Brasil,Tubos Sin Costura,0.0
2024,Mayo,Brasil,Laminados,2157.603
2024,Mayo,Chile,Largos,126.26940842999808
2024,Mayo,Chile,Planos,115.24346428999998
2024,Mayo,Chile,Tubos Sin Costura,1.8560712100000005
2024,Mayo,Chile,Laminados,243.36894392999807
2024,Mayo,Colombia,Largos,204.53950898000002
2024,Mayo,Colombia,Planos,157.84070032
2024,Mayo,Colombia,Tubos Sin Costura,4.779030719999991
2024,Mayo,Colombia,Laminados,367.15924002
2024,Mayo,Costa Rica,Largos,33.691006739092785
2024,Mayo,Costa Rica,Planos,48.52611634999998
2024,Mayo,Costa Rica,Tubos Sin Costura,0.056203919999999886
2024,Mayo,Costa Rica,Laminados,82.27332700909277
2024,Mayo,Ecuador,Largos,57.757458541759256
2024,Mayo,Ecuador,Planos,68.98044709999995
2024,Mayo,Ecuador,Tubos Sin Costura,5.1322573000000045
2024,Mayo,Ecuador,Laminados,131.8701629417592
2024,Mayo,El Salvador,Largos,11.410747460000001
2024,Mayo,El Salvador,Planos,17.17334686999999
2024,Mayo,El Salvador,Tubos Sin Costura,0.10677291
2024,Mayo,El Salvador,Laminados,28.690867239999992
2024,Mayo,Guatemala,Largos,42.76828383200961
2024,Mayo,Guatemala,Planos,48.983293
2024,Mayo,Guatemala,Tubos Sin Costura,0.44144
2024,Mayo,Guatemala,Laminados,92.19301683200962
2024,Mayo,Honduras,Largos,15.793231299999999
2024,Mayo,Honduras,Planos,27.314199579999993
2024,Mayo,Honduras,Tubos Sin Costura,0.5432865
2024,Mayo,Honduras,Laminados,43.650717379999996
2024,Mayo,México,Largos,807.08734205235
2024,Mayo,México,Planos,1410.47513483922
2024,Mayo,México,Tubos Sin Costura,19.532625735209997
2024,Mayo,México,Laminados,2237.09510262678
2024,Mayo,Panamá,Largos,17.424067
2024,Mayo,Panamá,Planos,5.126828
2024,Mayo,Panamá,Tubos Sin Costura,0.096991
2024,Mayo,Panamá,Laminados,22.647886
2024,Mayo,Paraguay,Largos,8.136819328545005
2024,Mayo,Paraguay,Planos,22.801963399999998
2024,Mayo,Paraguay,Tubos Sin Costura,0.4944431
2024,Mayo,Paraguay,Laminados,31.433225828545005
2024,Mayo,Perú,Largos,230.9320253696463
2024,Mayo,Perú,Planos,99.85596122677778
