Año,Mes,Familia_canacero,Vol. Ventas (ton)
2021,septiembre,04.01 LAMINA GALVANIZADA,556.374103
2021,septiembre,05.01 PERFILES ESTRUCTURALES,9814.078887
2021,septiembre,06.01 PERFILES COMERCIALES,4498.897577
2021,octubre,01.01 PLACA DE ROLLO,8922.716043999999
2021,octubre,01.02 PLACA DE HOJA,2548.2203000000004
2021,octubre,02.01 LAMINA EN CALIENTE,9495.291139000003
2021,octubre,03.01 LAMINA EN FRIO,1753.1655
2021,octubre,04.01 LAMINA GALVANIZADA,717.6632420000001
2021,octubre,05.01 PERFILES ESTRUCTURALES,10507.725527999999
2021,octubre,06.01 PERFILES COMERCIALES,4576.646595000001
2021,noviembre,01.01 PLACA DE ROLLO,7861.199584000002
2021,noviembre,01.02 PLACA DE HOJA,2597.421976
2021,noviembre,02.01 LAMINA EN CALIENTE,9890.950352999993
2021,noviembre,03.01 LAMINA EN FRIO,1657.832
2021,noviembre,04.01 LAMINA GALVANIZADA,589.6305479999999
2021,noviembre,05.01 PERFILES ESTRUCTURALES,10378.963726000002
2021,noviembre,06.01 PERFILES COMERCIALES,4346.428437
2021,diciembre,01.01 PLACA DE ROLLO,8664.099786999997
2021,diciembre,01.02 PLACA DE HOJA,2560.3983
2021,diciembre,02.01 LAMINA EN CALIENTE,9532.595884999999
2021,diciembre,03.01 LAMINA EN FRIO,1655.247164
2021,diciembre,04.01 LAMINA GALVANIZADA,518.2874039999999
2021,diciembre,05.01 PERFILES ESTRUCTURALES,10007.064826999997
2021,diciembre,06.01 PERFILES COMERCIALES,4130.681866000001
2022,enero,01.01 PLACA DE ROLLO,9744.391822
2022,enero,01.02 PLACA DE HOJA,2842.2842600000004
2022,enero,02.01 LAMINA EN CALIENTE,9877.543525000005
2022,enero,03.01 LAMINA EN FRIO,1958.924044
2022,enero,04.01 LAMINA GALVANIZADA,643.135757
2022,enero,05.01 PERFILES ESTRUCTURALES,9521.837393000003
2022,enero,06.01 PERFILES COMERCIALES,4567.112024
2022,febrero,01.01 PLACA DE ROLLO,10700.171209999997
2022,febrero,01.02 PLACA DE HOJA,1702.4928630000002
2022,febrero,02.01 LAMINA EN CALIENTE,9582.242562000001
2022,febrero,03.01 LAMINA EN FRIO,1605.9777080000001
2022,febrero,04.01 LAMINA GALVANIZADA,563.2030380000002
2022,febrero,05.01 PERFILES ESTRUCTURALES,10767.533376
2022,febrero,06.01 PERFILES COMERCIALES,5181.681417999999
2022,marzo,01.01 PLACA DE ROLLO,17759.248993999987
2022,marzo,01.02 PLACA DE HOJA,2553.376975
2022,marzo,02.01 LAMINA EN CALIENTE,16652.626140000008
2022,marzo,03.01 LAMINA EN FRIO,3242.317534
2022,marzo,04.01 LAMINA GALVANIZADA,1044.3360780000007
2022,marzo,05.01 PERFILES ESTRUCTURALES,15987.114025000003
2022,marzo,06.01 PERFILES COMERCIALES,6196.523457
2022,abril,01.01 PLACA DE ROLLO,13527.443907000003
2022,abril,01.02 PLACA DE HOJA,1423.4955400000001
2022,abril,02.01 LAMINA EN CALIENTE,11884.557663000007
2022,abril,03.01 LAMINA EN FRIO,2224.076
2022,abril,04.01 LAMINA GALVANIZADA,848.6500890000002
2022,abril,05.01 PERFILES ESTRUCTURALES,11268.549260999996
2022,abril,06.01 PERFILES COMERCIALES,5237.656921
2022,mayo,01.01 PLACA DE ROLLO,11619.946184999995
2022,mayo,01.02 PLACA DE HOJA,1481.967627
2022,mayo,02.01 LAMINA EN CALIENTE,10818.748833000003
2022,mayo,03.01 LAMINA EN FRIO,1990.2216360000002
2022,mayo,04.01 LAMINA GALVANIZADA,833.6498179999999
2022,mayo,05.01 PERFILES ESTRUCTURALES,9413.701348999999
2022,mayo,06.01 PERFILES COMERCIALES,6032.898928000001
2022,junio,01.01 PLACA DE ROLLO,13558.998968000002
2022,junio,01.02 PLACA DE HOJA,1688.585025
2022,junio,02.01 LAMINA EN CALIENTE,11180.023473000005
2022,junio,03.01 LAMINA EN FRIO,1790.516976
2022,junio,04.01 LAMINA GALVANIZADA,933.5026120000002
2022,junio,05.01 PERFILES ESTRUCTURALES,10629.927093999999
2022,junio,06.01 PERFILES COMERCIALES,4212.012649
2022,julio,01.01 PLACA DE ROLLO,13890.922820999998
2022,julio,01.02 PLACA DE HOJA,1784.4440329999998
2022,julio,02.01 LAMINA EN CALIENTE,10822.523404999998
2022,julio,03.01 LAMINA EN FRIO,1704.046902
2022,julio,04.01 LAMINA GALVANIZADA,918.178423
2022,julio,05.01 PERFILES ESTRUCTURALES,9048.001419999999
2022,julio,06.01 PERFILES COMERCIALES,3811.301686
2022,agosto,01.01 PLACA DE ROLLO,14852.442902999997
2022,agosto,01.02 PLACA DE HOJA,2000.110748
2022,agosto,02.01 LAMINA EN CALIENTE,12285.06106
2022,agosto,03.01 LAMINA EN FRIO,1996.700959
2022,agosto,04.01 LAMINA GALVANIZADA,953.0487790000002
2022,agosto,05.01 PERFILES ESTRUCTURALES,11012.595065
2022,agosto,06.01 PERFILES COMERCIALES,4936.69534
2022,septiembre,01.01 PLACA DE ROLLO,14086.764035
2022,septiembre,01.02 PLACA DE HOJA,1576.986713
2022,septiembre,02.01 LAMINA EN CALIENTE,14548.870375000004
2022,septiembre,03.01 LAMINA EN FRIO,2625.1617929999998
2022,septiembre,04.01 LAMINA GALVANIZADA,1043.672875
2022,septiembre,05.01 PERFILES ESTRUCTURALES,10602.392383999999
2022,septiembre,06.01 PERFILES COMERCIALES,4454.280267000001
2022,octubre,01.01 PLACA DE ROLLO,16661.593693000003
2022,octubre,01.02 PLACA DE HOJA,2076.305156
2022,octubre,02.01 LAMINA EN CALIENTE,13139.048420999996
2022,octubre,03.01 LAMINA EN FRIO,2551.6042529999995
2022,octubre,04.01 LAMINA GALVANIZADA,1238.8346780000008
