Fecha,Alambre,Alambre y derivados,Alambrón,Arrabio,Barras,Caliente,Carbón Mineral,Chatarra,"Cintas, Tiras y Flejes",Coque,Derivados de alambre,Ferroaleaciones,Fierro Esponja,Frío,Granallas y Polvos,HIERRO DE PRIMERA FUSIÓN,"Lingotes, Palanquillas, etc.",Lámina con Recubrimiento,Material Relaminable,Mineral de Hierro,PLANOS,Perfiles Comerciales formados en Caliente,Perfiles Estructurales (Caliente y Frío),Perfiles Inoxidables y Aleados,Planchón,Planos con Otros Recubiertos y Trabajos,Planos de Acero Aleado,Planos de Acero Inoxidable,Planos de Acero al Silicio,Rieles,TUBOS CON Y SIN COSTURA,Tubos c/Costura > 406.4 mm,Tubos c/Costura ≤ 406.4 mm,Tubos con Costura,Tubos sin Costura,Varilla Corrugada
2018-10,169194.57748130002,164716.0068556,217221.12629033,284655.31611667003,130615.76836216598,93114.00100680001,1701846.161628,907654.755208357,1650.8265649,184492.59461,-4478.5706257000065,27227.004119,568067.84558333,-4765.497066700002,5642.1598348,852723.1617,141741.125705,399275.69022143,2668.01745,1072348.67478,1371370.7365140363,41542.5520505,88348.5039401,2099.1946328,290991.42616730003,3738.523523400001,137694.6129975,66744.8291304,25198.238909,4892.369087,100356.23610226702,6023.62659,45844.44352236701,51868.07011236701,48488.16598990001,295804.73972633004
2018-11,160567.5064422,156291.2195363,179178.89469243,369809.39458867,134115.433159867,74852.2726112,1586350.0415780002,807942.355208357,1894.855487,208864.63225999998,-4276.286905900005,30551.036516,557743.46188333,-3784.6113365,5542.844653499999,927552.856472,131314.58895980002,403128.74495253,2161.912405,448246.42461399996,1350309.5946107365,41836.6203447,71067.6612747,747.5754148999999,128152.75413239998,4354.279753700001,149046.4231832,56026.505665599994,33193.122188,10040.985627600001,86397.585549367,20428.1662382,42777.720742867,63205.886981067,23191.698568299995,210554.00270273
2018-12,186816.9366617,180882.2730617,213930.09893323,380337.09554167,113625.083050766,50779.2807728,740567.02809,872415.325208357,1086.624141,139892.421025,-5934.6636000000035,30005.758636,563716.77458333,-2946.0657770000007,5635.060431299999,944053.870125,58547.3002994,339826.07917032996,3286.8649130000003,713214.515768,1242262.7376348365,30387.036909500006,47833.2149958,1890.9594819000001,215783.67129030003,-1358.2066697999999,137613.1399152,35784.796004200005,12329.913246,21418.258878,46282.60892206704,4422.756630200001,36496.668564267005,40919.42519446701,5363.18372760003,302653.06375333003
2019-01,156800.5242115,153355.5004653,207928.17341037,413302.62032333,131424.38714646702,108423.79223183,1461324.137573,863010.707703064,2091.262859,177569.699218,-3445.0237462000005,23528.100431333332,595037.942,-4909.5584232,5114.2374442,1008340.56232333,129066.130137,388709.9698964368,2916.133624,1001366.3113850001,1320084.7190943332,42102.17057196699,103514.23380863,2227.3918075,281787.8073494,7731.1183429,151131.8997251,45806.5476403,30886.3131846,5588.2401853,81679.08389113299,15374.663274767,46604.92909563299,61979.592370399994,19699.491520732998,360036.676292
2019-02,149627.9367359,145885.3923809,185014.46870647,394190.12851633,137278.15614946702,96892.648285133,1298448.0544520002,913481.4127030639,1989.010129,170855.822599,-3742.544355000001,22360.319120333334,524285.00245,-6145.0065018,4670.8900508,918475.13096633,136618.107005,346789.0266129367,1976.496191,790445.57528,1195988.6153340333,42187.938602867,90747.641783333,3212.5358965,306346.4191144,-1008.9894237999997,113024.5242823,53804.2747945,17243.559491,7609.788556,88377.919978633,17836.455484167,36012.167553533,53848.6230377,34529.29694093299,308910.709501
2019-03,159696.3485277,154968.9607389,192309.94185367,378966.74355332996,141884.239959467,79446.55138183301,1379986.11975,915598.796003064,1629.8784855,214841.060799,-4727.387788800001,23068.05460533333,590419.725,-4948.769041,5511.832096,969386.4685533299,153726.087235,394189.7983199366,3307.603738,735398.939211,1333040.1745732331,47992.427070967,74497.782340833,1316.4098668,237119.66018189996,1007.659236200001,157374.0196072,54213.4490238,34265.742431,7702.152485,108724.54045163299,28744.931806967,39200.46546133299,67945.39726829999,40779.143183333,271856.585857
2019-04,174820.41225570004,167345.6318586,206076.81184967,420707.45120333,145197.060345467,81052.25819093299,1125339.3988879998,907444.808103064,2420.8423839999996,132239.075011,-7474.7803971,23563.631176333336,577394.1316,-3336.1375728000003,4652.732045,998101.5828033299,170596.22104799998,382189.3436755367,952.2184840000001,889018.365974,1371961.0061993331,50574.054314267,77716.12061813299,2159.8416203,315840.7797221,6548.2423254,200480.2187922,43040.4845844,34725.83559,6825.9457708,88992.337633833,29380.012938566997,32277.758042933,61657.7709815,27334.566652333,265973.395182
2019-05,187339.9499063,181252.3296983,203777.92508367,364799.44501332997,147062.473547067,90742.50179263299,1326180.4978359998,964527.0260030641,2696.3426227,222627.36099800002,-6087.620208,24108.54115733333,571252.6704299999,-7585.190007700001,5680.4409727,936052.1154433299,185756.14708800003,400891.7439056367,2297.86899,814202.04364,1322230.616444033,49915.231408967,83157.31178493299,2726.7470929999995,247597.4935027,6875.7539084,159156.3165054,57617.9000488,27770.159207,5072.756251,107719.534388933,18644.058985767,43933.621140933006,62577.680126700005,45141.85426223299,288651.891681
2019-06,186654.91848340002,180933.12055279998,202915.01183166998,352943.04271332995,123150.65099446701,71176.917841833,1520810.259397,794004.1960030639,2438.3998174999997,167188.72421299998,-5721.7979306,22081.034620333332,490567.96313,-4679.1349054,3911.0232902,843511.00584333,199113.9458826,357225.8037126367,573.95748,988438.293949,1125298.0457771332,45417.798173167,66497.78293643301,2029.2420949,300562.0000583,7701.1679482,120282.073495,47759.094640100004,24097.768546,6506.448654999999,92529.39523543298,19105.721893366997,34193.087881932996,53298.80977529999,39230.58546013299,316152.321419
2019-07,163902.3940616,160105.532771,192009.02387206999,329303.05549533,135111.549906667,76944.20428263299,1555604.9663929997,814951.113003064,3863.8615909,148682.505844,-3796.8612906,21823.054876333335,475239.31118,-7382.803713400001,4678.9706218,804542.3666753301,187833.154587,393774.82984593674,1539.329466,715349.3051100001,1285139.7652802332,43063.85220316701,69561.400569233,3079.2524088000005,240198.5168208,4224.123585,153291.1123757,50481.3070393,27271.592395,8446.4137393,85311.42103473301,15528.152744867002,38848.64028933301,54376.79303420001,30934.628000532997,295412.8693579
